ProjectID,StartDate,EndDate,DurationDays,Budget,ActualCost,RiskLevel,TeamSize,ScopeComplexity,Domain,Status,Success
49,2022-02-09,2023-01-21,346,143008,166514,Low,18,5,IT,On Track,0
50,2019-12-04,2020-11-01,333,406441,458877,High,35,2,Marketing,Delayed,0
51,2022-04-29,2022-10-22,176,75351,88908,Low,22,4,Sales,On Track,0
52,2018-06-11,2018-07-14,33,138668,151188,Medium,11,2,IT,Completed,0
53,2018-07-21,2018-09-23,64,164585,172051,High,14,3,Sales,On Track,0
54,2023-06-05,2024-01-12,221,458521,443526,Medium,11,2,Marketing,Cancelled,0
55,2020-09-22,2020-12-09,78,387497,454569,Medium,37,2,Finance,Delayed,0
56,2020-03-26,2020-05-11,46,257869,295627,Medium,27,3,Marketing,Completed,0
57,2019-04-01,2019-10-19,201,115953,94859,Low,25,5,Marketing,Delayed,1
58,2021-06-29,2022-03-05,249,369602,299579,High,23,5,Sales,Completed,1
59,2020-10-13,2021-04-18,187,332502,316071,High,23,2,HR,Completed,1
60,2018-12-04,2019-02-17,75,53267,59883,Critical,40,3,Operations,Delayed,0
61,2020-05-28,2020-07-02,35,132745,158618,Low,33,3,Operations,Delayed,0
62,2020-12-12,2021-04-19,128,401732,345556,Medium,22,4,Finance,Delayed,1
63,2020-03-02,2020-11-19,262,350657,363860,High,6,5,Finance,Delayed,0
64,2020-02-03,2020-04-09,66,207164,197293,Low,5,1,Operations,On Track,1
65,2019-01-15,2019-11-20,309,61338,72867,Low,9,5,HR,On Track,0
66,2019-05-08,2020-04-03,331,181484,206319,Medium,24,5,Operations,Delayed,0
67,2021-03-26,2021-10-22,210,57543,65330,Medium,15,4,HR,Delayed,0
68,2023-08-25,2023-12-27,124,418035,412800,High,46,1,Finance,Completed,1
69,2018-03-06,2018-07-12,128,476712,460469,Low,6,4,IT,Delayed,1
70,2021-09-29,2022-05-04,217,110692,100659,High,7,1,Sales,Cancelled,0
71,2021-02-26,2021-07-21,145,270156,222216,Low,27,2,Finance,On Track,1
72,2023-07-21,2024-02-26,220,273992,313964,Low,16,1,Finance,On Track,0
73,2022-02-04,2022-11-13,282,356569,401197,Low,24,4,Marketing,On Track,0
74,2021-03-08,2021-09-14,190,88756,106497,High,9,5,Marketing,Delayed,0
75,2022-03-03,2022-12-13,285,68888,82572,Medium,41,1,Marketing,Completed,0
76,2019-01-27,2020-01-14,352,216807,221614,Medium,42,1,Sales,On Track,0
77,2022-08-26,2023-01-30,157,359439,398112,Low,34,3,Marketing,Completed,0
78,2019-02-23,2019-04-11,47,164352,193591,High,13,5,HR,Delayed,0
79,2019-01-14,2019-11-20,310,395186,450456,Low,38,2,Operations,Delayed,0
80,2022-12-02,2023-08-11,252,135999,122254,High,48,4,IT,Delayed,1
81,2023-09-20,2023-12-12,83,67955,66610,Medium,39,2,Finance,On Track,1
82,2023-12-23,2024-03-19,87,349985,298069,Low,26,5,HR,Delayed,1
83,2018-07-20,2019-07-07,352,120640,142550,Medium,48,1,IT,Delayed,0
84,2023-02-07,2023-08-29,203,246582,257054,Low,28,1,HR,On Track,0
85,2020-02-19,2020-12-24,309,478127,426229,Medium,21,5,HR,Delayed,1
86,2019-05-18,2019-10-08,143,269798,288327,Medium,14,1,Finance,On Track,0
87,2022-10-18,2023-08-31,317,450573,471863,Low,34,1,Operations,Delayed,0
88,2020-03-15,2020-09-11,180,475695,448706,High,27,1,Marketing,Delayed,1
89,2023-11-17,2024-04-21,156,111476,94244,Low,36,4,Sales,Delayed,1
90,2023-03-11,2023-09-11,184,356955,381452,Medium,21,4,Operations,Delayed,0
91,2022-04-20,2023-02-16,302,217280,219044,High,21,3,Sales,On Track,0
92,2020-08-18,2020-12-29,133,201222,223140,Medium,18,2,Finance,Delayed,0
93,2022-01-25,2022-12-19,328,121180,122157,Low,13,5,Finance,On Track,0
94,2020-10-25,2021-07-27,275,224358,255963,High,44,5,Finance,On Track,0
95,2019-05-18,2019-12-09,205,162856,166237,Medium,6,5,IT,Completed,0
96,2019-02-02,2019-04-11,68,380594,389871,Low,49,3,Sales,On Track,0
97,2020-05-20,2020-12-05,199,464568,534560,Low,29,4,Operations,Delayed,0
98,2019-01-28,2019-10-31,276,236141,227024,High,43,3,Operations,Delayed,1
99,2018-07-26,2018-09-19,55,424032,361956,Medium,13,5,HR,On Track,1
100,2020-11-04,2021-10-05,335,160448,130205,Medium,26,2,HR,On Track,1
101,2023-02-25,2023-04-08,42,64397,70969,High,47,1,HR,On Track,0
102,2022-01-24,2023-01-04,345,484771,508100,High,8,4,Finance,Completed,0
103,2020-05-13,2021-04-20,342,228031,246645,Low,30,4,Operations,Delayed,0
104,2019-07-18,2019-09-21,65,443944,392972,Low,33,3,Sales,On Track,1
105,2020-10-17,2021-05-07,202,493733,421918,Low,49,4,Finance,Delayed,1
106,2018-04-06,2018-05-25,49,169180,136328,Medium,38,5,IT,Delayed,1
107,2023-04-08,2024-03-23,350,116234,109287,Low,27,5,HR,On Track,1
108,2022-10-24,2023-08-13,293,89954,93189,Medium,41,3,Finance,Delayed,0
109,2022-08-06,2023-01-24,171,228352,218509,High,15,5,Finance,Delayed,1
110,2019-06-25,2019-12-14,172,129459,126221,High,10,2,IT,Completed,1
111,2020-11-25,2021-03-26,121,459995,534359,Low,22,3,Marketing,On Track,0
112,2021-03-29,2022-03-15,351,245004,230132,High,25,2,Operations,On Track,1
113,2022-09-19,2023-08-02,317,467682,470299,Low,46,1,Sales,On Track,0
114,2022-12-25,2023-08-26,244,480155,534633,High,40,2,Marketing,Delayed,0
115,2022-05-17,2022-08-05,80,250968,240582,Low,45,1,HR,On Track,1
116,2020-03-06,2020-09-04,182,478486,501852,Low,42,1,Finance,Delayed,0
117,2020-11-17,2021-06-20,215,109163,124985,High,38,2,IT,Completed,0
118,2022-07-02,2022-10-02,92,101934,120262,Low,21,3,IT,Completed,0
119,2021-09-25,2022-05-02,219,245967,211243,Low,41,5,Operations,Delayed,1
120,2023-06-05,2023-11-06,154,475523,556663,Medium,29,5,Marketing,Completed,0
121,2021-09-16,2022-03-14,179,366242,365087,Medium,42,1,Operations,Delayed,1
122,2022-07-22,2023-06-30,343,55486,50120,Medium,16,1,Finance,Delayed,1
123,2022-03-10,2022-06-05,87,189407,186311,Medium,27,3,Operations,On Track,1
124,2023-08-01,2024-06-30,334,399044,475665,Medium,46,4,Sales,Cancelled,0
125,2022-02-05,2022-09-02,209,176020,175500,Low,26,2,IT,On Track,1
126,2021-11-09,2022-05-27,199,152795,142328,Low,25,1,IT,On Track,1
127,2021-11-01,2022-10-22,355,270184,284601,Low,31,5,HR,On Track,0
128,2021-07-30,2022-05-26,300,192202,172224,High,35,3,HR,Delayed,1
129,2020-08-30,2020-11-21,83,399652,331849,Medium,10,2,Finance,On Track,1
130,2022-11-04,2023-03-14,130,287027,244418,Medium,31,3,Sales,On Track,1
131,2021-07-06,2022-04-25,293,168324,143280,Medium,44,2,Marketing,On Track,1
132,2019-12-11,2020-03-02,82,372710,320814,High,38,2,Operations,On Track,1
133,2022-01-19,2022-04-18,89,247775,211979,Low,16,1,Finance,Delayed,1
134,2021-12-05,2022-04-21,137,339336,358457,Medium,49,3,HR,Delayed,0
135,2019-10-11,2019-11-14,34,313206,273351,Medium,11,3,Operations,On Track,1
136,2018-11-14,2019-03-26,132,134076,125799,Medium,14,5,HR,Delayed,1
137,2021-06-11,2022-01-22,225,139780,161965,Low,49,5,Operations,Delayed,0
138,2019-11-15,2020-09-01,291,202617,200506,High,21,1,Marketing,On Track,1
139,2019-10-26,2020-01-10,76,71689,76493,High,30,1,Finance,On Track,0
140,2023-06-22,2024-05-27,340,323318,280940,Medium,25,4,Operations,Cancelled,0
141,2022-06-20,2023-05-23,337,400605,351296,Medium,32,5,Sales,Delayed,1
142,2022-02-04,2022-07-27,173,438318,357819,High,6,2,IT,On Track,1
143,2021-02-10,2021-12-05,298,415177,360196,Medium,47,3,Sales,Delayed,1
144,2023-01-28,2023-06-30,153,59348,54091,Low,5,1,Sales,On Track,1
145,2022-03-01,2022-07-14,135,466930,406604,Medium,40,3,IT,Delayed,1
146,2019-07-18,2020-01-21,187,88102,73607,Medium,30,3,Sales,On Track,1
147,2021-07-15,2022-01-07,176,124460,105573,Medium,33,4,Operations,On Track,1
148,2022-06-25,2022-12-16,174,414778,408270,Medium,25,5,Operations,On Track,1
149,2019-11-30,2020-04-27,149,139930,123492,High,15,1,Operations,Completed,1
150,2023-12-01,2024-11-13,348,56801,53717,High,44,3,IT,Completed,1
151,2018-01-02,2018-11-02,304,153150,153359,Medium,15,1,Sales,On Track,0
152,2019-10-04,2020-02-02,121,253339,272632,Low,40,2,IT,On Track,0
153,2022-05-09,2022-08-04,87,229208,186970,Critical,43,4,Operations,Completed,1
154,2020-05-04,2021-01-17,258,204697,229212,High,44,2,Sales,On Track,0
155,2022-10-26,2023-03-21,146,263945,277448,Low,39,1,Sales,On Track,0
156,2022-07-20,2023-07-02,347,281915,234751,High,38,1,HR,Cancelled,0
157,2021-02-27,2022-01-01,308,253664,291569,High,28,5,HR,On Track,0
158,2020-12-12,2021-05-17,156,258124,301578,Medium,26,3,Marketing,Delayed,0
159,2022-09-04,2023-02-09,158,487477,401891,Medium,9,3,Finance,Cancelled,0
160,2022-08-23,2022-11-18,87,51542,46941,Low,37,2,HR,On Track,1
161,2022-09-30,2023-02-28,151,333821,374707,Low,40,4,IT,On Track,0
162,2021-12-10,2022-01-09,30,227804,250425,Low,24,3,HR,On Track,0
163,2020-04-15,2021-01-08,268,231415,202212,High,23,5,Marketing,Completed,1
164,2018-07-22,2019-06-06,319,89081,78724,Low,39,2,Sales,Completed,1
165,2018-05-03,2018-09-05,125,243928,231289,Low,47,2,Marketing,Completed,1
166,2019-02-05,2019-07-10,155,405249,402740,Low,21,5,Sales,On Track,1
167,2020-02-06,2020-07-02,147,269930,282698,Medium,49,4,Sales,Completed,0
168,2018-10-21,2019-01-06,77,331209,313842,High,47,5,Finance,Completed,1
169,2018-07-17,2018-11-12,118,264532,260567,Low,38,4,HR,Delayed,1
170,2023-04-15,2024-01-06,266,138092,151761,Low,13,5,IT,Completed,0
171,2019-09-01,2020-06-28,301,366837,298852,Medium,30,5,IT,Completed,1
172,2021-02-21,2021-09-27,218,339106,305525,Medium,6,1,Operations,Delayed,1
173,2018-07-06,2019-02-12,221,78295,84976,Low,13,2,Sales,Delayed,0
174,2022-11-30,2023-03-08,98,63807,73893,Medium,13,5,IT,On Track,0
175,2019-10-22,2020-08-24,307,485564,487832,Low,44,5,Finance,On Track,0
176,2023-05-10,2024-02-10,276,207504,210169,Low,21,3,Sales,Delayed,0
177,2021-10-01,2022-01-14,105,288067,242802,Medium,5,2,Finance,On Track,1
178,2023-06-10,2023-12-10,183,483478,473308,Medium,29,3,IT,Completed,1
179,2022-03-15,2022-09-04,173,218152,220998,High,47,2,IT,Cancelled,0
180,2018-05-27,2018-09-19,115,444540,398747,Low,44,3,Operations,Completed,1
181,2022-10-01,2023-05-03,214,403411,366175,Medium,46,5,IT,On Track,1
182,2023-01-18,2023-11-28,314,216981,206330,Medium,29,5,Sales,On Track,1
183,2019-05-04,2020-01-08,249,270411,218499,Low,43,1,Sales,On Track,1
184,2023-05-14,2023-08-20,98,69870,64897,Medium,39,3,Sales,Delayed,1
185,2022-07-22,2022-10-06,76,477794,422646,Low,7,4,Operations,Completed,1
186,2019-10-03,2020-02-03,123,253196,235725,Critical,41,1,Operations,Completed,1
187,2022-12-08,2023-09-01,267,298683,253254,Low,48,3,IT,Delayed,1
188,2023-05-24,2024-01-12,233,284677,329146,Medium,48,3,Marketing,Completed,0
189,2021-12-09,2022-08-13,247,76790,79664,Low,34,1,Marketing,Completed,0
190,2022-06-23,2022-08-30,68,168874,180972,Critical,42,5,Operations,On Track,0
191,2018-09-20,2019-01-27,129,337433,376463,Medium,38,3,IT,Completed,0
192,2022-11-23,2023-10-07,318,498345,498034,Medium,16,5,Marketing,On Track,1
193,2019-09-16,2020-06-25,283,274786,229382,Low,23,1,IT,On Track,1
194,2020-10-13,2021-06-21,251,65485,66456,Medium,41,5,IT,Delayed,0
195,2020-05-30,2020-07-21,52,356626,369013,Low,48,2,IT,On Track,0
196,2023-08-12,2024-05-17,279,136188,149558,High,21,4,HR,Delayed,0
197,2021-08-20,2021-09-28,39,54748,53251,Low,14,3,Sales,Delayed,1
198,2019-03-29,2019-12-29,275,267841,227941,Low,16,4,IT,Delayed,1
199,2021-03-29,2022-03-18,354,190507,174030,Low,20,5,HR,On Track,1
200,2023-08-19,2023-12-26,129,315853,298554,Medium,28,3,Operations,Delayed,1
